employee_id,gender,job_class,job_grade,role_level,role_level_encoded,division,location,tenure_years,performance,salary
CNF0258,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,0,58.3,106700.0
CNF0259,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,0,74.3,102200.0
CNF0260,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,4,51.8,73400.0
CNF0261,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,3,76.3,124100.0
CNF0262,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,3,65.0,205400.0
CNF0263,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,70.4,45000.0
CNF0264,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,2,79.8,95600.0
CNF0265,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,6,52.7,131700.0
CNF0266,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,2,60.4,102500.0
CNF0267,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,6,76.4,134800.0
CNF0268,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Vancouver,1,99.4,111700.0
CNF0269,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,8,68.1,90000.0
CNF0270,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,4,78.3,64800.0
CNF0271,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,1,68.5,154600.0
CNF0272,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,1,97.2,134400.0
CNF0273,Male,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,4,45.5,149000.0
CNF0274,Male,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,8,71.3,155300.0
CNF0275,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,2,47.2,67900.0
CNF0276,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,1,34.9,80500.0
CNF0277,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,10,74.2,127500.0
CNF0278,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,5,72.0,126800.0
CNF0279,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,2,66.0,110800.0
CNF0280,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Vancouver,3,68.5,116100.0
CNF0281,Male,Pension Director,Grade 6,Director,4,Pension Administration,Calgary,1,100.0,160200.0
CNF0282,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Vancouver,4,66.4,91300.0
CNF0283,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,2,77.1,106800.0
CNF0284,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,25,60.9,73900.0
CNF0285,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,3,74.1,105700.0
CNF0286,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,3,66.7,47100.0
CNF0287,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,4,64.3,87700.0
CNF0288,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,12,95.5,124200.0
CNF0289,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,8,86.5,88800.0
CNF0290,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,2,71.9,103700.0
CNF0291,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,6,37.7,65200.0
CNF0292,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,4,64.9,70400.0
CNF0293,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,3,100.0,158900.0
CNF0294,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,1,66.8,86500.0
CNF0295,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,3,85.4,83500.0
CNF0296,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,1,90.2,85400.0
CNF0297,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,12,73.1,133200.0
CNF0298,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,2,58.2,71000.0
CNF0299,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,15,35.9,119600.0
CNF0300,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,3,79.6,89600.0
CNF0301,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,4,58.6,55100.0
CNF0302,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,3,72.5,97000.0
CNF0303,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,0,52.5,86400.0
CNF0304,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,66.3,128700.0
CNF0305,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,0,70.5,123000.0
CNF0306,Male,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,4,73.8,202600.0
CNF0307,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,2,54.4,94000.0
CNF0308,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,7,86.8,101100.0
CNF0309,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,1,61.6,118800.0
CNF0310,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,0,46.6,59100.0
CNF0311,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,2,68.5,88500.0
CNF0312,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,13,70.5,91500.0
CNF0313,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,6,72.2,75500.0
CNF0314,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,2,89.1,207400.0
CNF0315,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,3,66.7,150700.0
CNF0316,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Vancouver,0,68.3,107500.0
CNF0317,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,20,54.6,100600.0
CNF0318,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,5,81.5,80300.0
CNF0319,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,1,72.6,69900.0
CNF0320,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,4,64.1,72800.0
CNF0321,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,0,43.3,74700.0
CNF0322,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,16,90.2,136700.0
CNF0323,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,0,52.8,97600.0
CNF0324,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,5,61.7,79800.0
CNF0325,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,1,75.0,187200.0
CNF0326,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,6,53.2,106600.0
CNF0327,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,7,49.1,96900.0
CNF0328,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,5,40.3,104500.0
CNF0329,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Vancouver,4,80.1,89400.0
CNF0330,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,11,62.4,88900.0
CNF0331,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,0,100.0,97400.0
CNF0332,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,2,56.1,113000.0
CNF0333,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,1,57.1,73900.0
CNF0334,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,22,62.1,94400.0
CNF0335,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,2,73.4,73800.0
CNF0336,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,6,63.4,60000.0
CNF0337,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,5,78.6,159700.0
CNF0338,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,1,56.3,100800.0
CNF0339,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,1,50.7,95700.0
CNF0340,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,44.8,67800.0
CNF0341,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,2,38.9,72500.0
CNF0342,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,1,62.7,96900.0
CNF0343,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,65.8,65000.0
CNF0344,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,10,61.2,95700.0
CNF0345,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,16,87.4,118900.0
CNF0346,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,87.2,127200.0
CNF0347,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,2,65.3,106000.0
CNF0348,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,0,44.9,45000.0
CNF0349,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Calgary,5,62.1,75100.0
CNF0350,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,8,61.6,114100.0
CNF0351,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,0,60.8,87100.0
CNF0352,Male,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,0,60.2,155400.0
CNF0353,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,7,60.9,122700.0
CNF0354,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,4,64.6,66300.0
CNF0355,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,61.1,61800.0
CNF0356,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Calgary,4,72.9,101100.0
CNF0357,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Vancouver,1,75.0,60100.0
CNF0358,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,57.3,113600.0
CNF0359,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Calgary,7,87.8,198400.0
CNF0360,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,8,56.3,91500.0
CNF0361,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,2,47.4,90000.0
CNF0362,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,14,75.3,136700.0
CNF0363,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,2,58.6,82200.0
CNF0364,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,7,74.5,110800.0
CNF0365,Male,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,3,36.3,191800.0
CNF0366,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,11,89.5,100700.0
CNF0367,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Vancouver,11,79.4,218400.0
CNF0368,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,0,49.0,150700.0
CNF0369,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,13,49.3,83100.0
CNF0370,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,8,93.4,84800.0
CNF0371,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,7,59.7,80300.0
CNF0372,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,1,58.3,59400.0
CNF0373,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,8,38.3,72400.0
CNF0374,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,9,65.1,118300.0
CNF0375,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,1,66.8,72300.0
CNF0376,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,15,80.0,105500.0
CNF0377,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,0,50.4,153400.0
CNF0378,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,0,48.7,69600.0
CNF0379,Female,Pension Director,Grade 6,Director,4,Pension Administration,Calgary,3,76.3,156300.0
CNF0380,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,4,84.1,61200.0
CNF0381,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,5,48.0,57400.0
CNF0382,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,0,85.1,111700.0
CNF0383,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,16,70.5,121500.0
CNF0384,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,0,85.3,149700.0
CNF0385,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,0,69.0,111600.0
CNF0386,Female,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,0,34.7,123000.0
CNF0387,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,4,67.9,84900.0
CNF0388,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,13,84.8,109200.0
CNF0389,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,5,57.5,113500.0
CNF0390,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,8,64.6,148900.0
CNF0391,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,0,67.5,178200.0
CNF0392,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,3,29.4,89200.0
CNF0393,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,3,93.4,100700.0
CNF0394,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,3,57.4,134100.0
CNF0395,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,0,77.1,99600.0
CNF0396,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,5,68.8,187900.0
CNF0397,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Vancouver,3,87.6,145900.0
CNF0398,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,7,75.7,106900.0
CNF0399,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,3,66.7,117600.0
CNF0400,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,0,57.5,118100.0
CNF0401,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,5,81.2,66000.0
CNF0402,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,0,43.8,134700.0
CNF0403,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,10,79.0,106500.0
CNF0404,Male,Pension Director,Grade 6,Director,4,Pension Administration,Vancouver,4,54.6,148500.0
CNF0405,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,0,87.5,83900.0
CNF0406,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,16,72.3,153600.0
CNF0407,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,3,79.0,90700.0
CNF0408,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,0,71.1,66500.0
CNF0409,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,4,45.5,137200.0
CNF0410,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,1,57.9,67900.0
CNF0411,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,8,79.4,115400.0
CNF0412,Male,Vice President — Banking,Grade 7,VP,5,Retail Banking,Calgary,8,72.3,190900.0
CNF0413,Male,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,19,86.5,212000.0
CNF0414,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,3,75.6,101100.0
CNF0415,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,3,56.5,116700.0
CNF0416,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,7,58.9,85400.0
CNF0417,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,71.4,73300.0
CNF0418,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,3,37.6,72300.0
CNF0419,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,3,93.4,139700.0
CNF0420,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,0,76.2,116100.0
CNF0421,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,2,87.2,130200.0
CNF0422,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,9,47.9,122100.0
CNF0423,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,9,87.4,93400.0
CNF0424,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,0,100.0,94800.0
CNF0425,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,0,51.5,68900.0
CNF0426,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,1,80.8,103500.0
CNF0427,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,10,70.0,96000.0
CNF0428,Male,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,0,48.4,141600.0
CNF0429,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,6,76.9,95000.0
CNF0430,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,81.7,63500.0
CNF0431,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,4,61.6,60600.0
CNF0432,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,2,86.3,116800.0
CNF0433,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,7,46.7,115500.0
CNF0434,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,49.1,70500.0
CNF0435,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,5,71.9,81400.0
CNF0436,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,1,70.4,119100.0
CNF0437,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,6,60.0,84000.0
CNF0438,Female,Pension Director,Grade 6,Director,4,Pension Administration,Vancouver,10,81.3,145000.0
CNF0439,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Calgary,0,77.4,92900.0
CNF0440,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,10,82.0,79200.0
CNF0441,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,4,68.3,78800.0
CNF0442,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,0,78.4,205700.0
CNF0443,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,2,63.8,80200.0
CNF0444,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,0,98.8,104500.0
CNF0445,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,6,58.6,127400.0
CNF0446,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,7,99.5,207600.0
CNF0447,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,0,70.5,186900.0
CNF0448,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,3,50.7,107100.0
CNF0449,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Vancouver,8,89.2,89900.0
CNF0450,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,13,71.8,84000.0
CNF0451,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,3,81.9,123300.0
CNF0452,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,15,87.1,106900.0
CNF0453,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Calgary,3,74.7,82200.0
CNF0454,Female,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,2,61.7,137900.0
CNF0455,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,9,83.7,77400.0
CNF0456,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,3,70.0,89700.0
CNF0457,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,3,79.6,62700.0
CNF0458,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,3,39.8,79200.0
CNF0459,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,9,76.3,74700.0
CNF0460,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,8,61.1,69000.0
CNF0461,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,2,93.1,88200.0
CNF0462,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,78.7,123100.0
CNF0463,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,3,73.4,116500.0
CNF0464,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,4,76.8,125800.0
CNF0465,Female,Vice President — Banking,Grade 7,VP,5,Retail Banking,Calgary,1,56.0,172900.0
CNF0466,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,7,92.7,93900.0
CNF0467,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,3,97.9,87900.0
CNF0468,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,2,75.5,149300.0
CNF0469,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,0,92.3,65100.0
CNF0470,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,1,62.0,185200.0
CNF0471,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,14,58.8,75100.0
CNF0472,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,1,70.6,172900.0
CNF0473,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,0,76.1,61500.0
CNF0474,Male,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,3,64.5,155800.0
CNF0475,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,1,77.5,109500.0
CNF0476,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,0,74.3,189500.0
CNF0477,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,1,56.0,75600.0
CNF0478,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,3,77.3,100400.0
CNF0479,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,4,82.1,212800.0
CNF0480,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,2,72.4,99400.0
CNF0481,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,86.1,131200.0
CNF0482,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,16,53.0,115900.0
CNF0483,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,2,76.6,85500.0
CNF0484,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Vancouver,1,53.6,105500.0
CNF0485,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,1,54.4,100500.0
CNF0486,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,3,61.2,150900.0
CNF0487,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,7,56.8,70300.0
CNF0488,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,1,62.3,59800.0
CNF0489,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Vancouver,6,67.0,207300.0
CNF0490,Female,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,0,81.7,143900.0
CNF0491,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,2,65.5,91700.0
CNF0492,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Vancouver,7,47.8,130900.0
CNF0493,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,2,86.0,74400.0
CNF0494,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,4,58.3,59800.0
CNF0495,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,1,69.2,106900.0
CNF0496,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,6,76.3,104700.0
CNF0497,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,0,72.8,114800.0
CNF0498,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,9,85.3,85000.0
CNF0499,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,1,76.7,202100.0
CNF0500,Female,Vice President — Banking,Grade 7,VP,5,Retail Banking,Calgary,10,57.9,175800.0
CNF0501,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,100.0,142400.0
CNF0502,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,6,72.7,108100.0
CNF0503,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,1,67.9,71400.0
CNF0504,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,11,83.5,160400.0
CNF0505,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,0,73.5,120300.0
CNF0506,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,75.6,69000.0
CNF0507,Female,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,3,100.0,145900.0
CNF0508,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,0,66.1,151500.0
CNF0509,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,1,65.6,185300.0
CNF0510,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,14,71.6,119800.0
CNF0511,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,18,85.0,138400.0
CNF0512,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Calgary,2,48.9,77600.0
CNF0513,Male,Vice President — Banking,Grade 7,VP,5,Retail Banking,Calgary,12,42.5,189700.0
CNF0514,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,3,61.8,143700.0
CNF0515,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,47.1,68500.0
